cluster,SymbolA,SymbolB,
187,TINF2,ACD,
586,AKR1C2,AKR1C1,
586,AKR1C3,AKR1C1,
586,AKR1C3,AKR1C4,
180,NRBF2,ATG14,
66,DTNBP1,BCAS4,
288,BHMT,BHMT2,
6,CCDC90B,CCDC90A,
11,CDK8,CDK19,
2,CYBRD1,CDYL,
877,CD209,CLEC4M,
362,LRCH3,DOCK8,
111,NSL1,DSN1,
111,PMF1,DSN1,
296,EAF1,ELL3,
200,SIX1,EYA1,
113,ERCC3,GTF2H3,
723,HEXIM1,HEXIM2,
953,AKTIP,HOOK3,
2,FAM60A,ING2,
298,KPTN,ITFG2,
531,CCM2,KRIT1,
80,MAPK14,MAPKAPK3,
72,MAB21L1,MEIS2,
223,C20orf20,MORF4L1,
30,PHF17,MYST2,
149,NSMCE1,NSMCE4A,
94,PCGF2,PHC1,
187,ACD,POT1,
187,TINF2,POT1,
360,PARD6B,PRKCZ,
593,NFKBIA,REL,
396,PRPF40B,RGS9,
350,PPP4R2,SMEK1,
126,AEBP2,SUZ12,
599,MITF,TFEB,
1289,CYP2C18,CYP2C9,
2,HMG20B,HMG20A,
288,MTMR9,MTMR7,
150,PRKAG2,PRKAB2,
536,PDCD10,STK25,
187,TERF1,TINF2,
59,TUBG2,TUBGCP5,
232,VPS28,UBAP1,
786,METTL1,WDR4,
361,ASB7,C8orf34,
415,NDEL1,FAM190A,
104,RCAN1,PPP3CC,
593,NFKBIB,REL,
139,SSBP4,SSBP3,
49,TLE3,TLE4,
221,RDBP,WHSC2,
64,MPP2,LIN7C,
533,HUS1,RAD1,
11,MED21,MED7,
171,NICN1,C11orf49,
171,C11orf49,LRRC49,
45,COMMD6,COMMD1,
45,COMMD1,COMMD8,
150,PRKAG1,PRKAB2,
111,PMF1,NSL1,
150,PRKAG1,PRKAB1,
750,PTPRA,PTPRE,
849,TEAD4,TEAD2,
1251,DFFA,DFFB,
699,MMP3,MMP10,
36,IFT57,TTC30A,
258,SPIN1,C11orf84,
842,FRMD6,RASSF8,
104,RCAN3,PPP3CC,
222,PACSIN2,COBL,
171,NICN1,LRRC49,
139,SSBP2,SSBP3,
150,PRKAG2,PRKAB1,
116,ARHGEF7,ARHGEF6,
1146,NUP54,NUPL1,
116,GIT2,ARHGEF6,
131,BBS5,BBS1,
30,MEAF6,MYST2,
36,IFT81,IFT74,
45,COMMD10,COMMD8,
416,KCNIP4,KCNIP2,
748,VPS26A,VPS26B,
35,POLR3D,POLR3E,
45,COMMD8,COMMD4,
642,VPS53,CCDC132,
423,PARVA,ILK,
11,MED18,MED19,
47,PRKACB,PRKAR2B,
18,CKS1B,CDK1,
380,PCDHB11,PCDHB12,
111,NSL1,SPC25,
23,DPF3,SMARCD1,
11,MED21,MED19,
82,SERPINB3,SERPINB4,
229,SH3GL2,SH3GL3,
103,PCDHA10,PCDHA6,
620,TRIAP1,PRELID1,
223,C20orf20,MORF4L2,
1274,ADH1C,ADH1B,
258,SPIN2B,SPIN1,
11,MED21,MED1,
794,IGLL5,IGLC3,
111,DSN1,SPC25,
39,FBXW11,BTRC,
68,EIF3H,EIF3M,
103,PCDHA10,PCDHA2,
26,RINT1,SCFD2,
62,SEPT3,SEPT7,
