Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
26277,65057,Q9BSI4-2,Q96AP0,TINF2,ACD,,,
1646,1645,B5ME26,Q04828,AKR1C2,AKR1C1,,,
8644,1645,P42330,Q04828,AKR1C3,AKR1C1,,,
8644,1109,P42330,P17516,AKR1C3,AKR1C4,,,
29982,22863,Q96F24,Q6ZNE5,NRBF2,ATG14,,,
84062,55653,Q96EV8-2,Q8TDM0-3,DTNBP1,BCAS4,,,
635,23743,Q93088,Q9H2M3,BHMT,BHMT2,,,
60492,63933,Q9GZT6-2,Q96AQ8,CCDC90B,CCDC90A,,,
1024,23097,P49336-2,B4DUB1,CDK8,CDK19,,,
79901,9425,Q53TN4,Q9Y232-2,CYBRD1,CDYL,,,
30835,10332,Q9NNX6-2,Q9H2X3-8,CD209,CLEC4M,,,
1455,1456,P78368,Q9Y6M4-2,CSNK1G2,CSNK1G3,,,
10641,9681,Q8WTW4,O75140-3,NPRL2,DEPDC5,,,
9844,80005,Q92556,Q9H7D0-2,ELMO1,DOCK5,,,
84859,81704,Q96II8-2,Q8NF50,LRCH3,DOCK8,,,
25936,79980,Q96IY1,Q9H410,NSL1,DSN1,,,
11243,79980,Q6P1K2,Q9H410,PMF1,DSN1,,,
27125,80237,Q9UHB7,Q9HB65,AFF4,ELL3,,,
85403,80237,Q96JC9,Q9HB65,EAF1,ELL3,,,
6495,2138,Q15475,Q99502,SIX1,EYA1,,,
2071,2967,P19447,Q13889,ERCC3,GTF2H3,,,
10614,124790,O94992,Q96MH2,HEXIM1,HEXIM2,,,
9454,9456,Q9NSC5-2,Q86YM7,HOMER3,HOMER1,,,
64400,84376,Q9H8T0-2,Q86VS8,AKTIP,HOOK3,,,
3452,3441,P01568,P05014,IFNA21,IFNA4,,,
58516,3622,Q9NP50,Q9H160,FAM60A,ING2,,,
11133,55846,Q9Y664,Q969R8,KPTN,ITFG2,,,
22920,11127,Q92845,Q9Y496,KIFAP3,KIF3A,,,
83605,889,Q9BSQ5,O00522-2,CCM2,KRIT1,,,
1432,7867,Q16539-3,Q16644,MAPK14,MAPKAPK3,,,
4081,4212,Q13394,O14770-2,MAB21L1,MEIS2,,,
55257,10933,Q9NV56,Q9UBU8-2,C20orf20,MORF4L1,,,
79960,11143,Q6IE81,O95251,PHF17,MYST2,,,
197370,54780,Q8WV22,Q9NXX6,NSMCE1,NSMCE4A,,,
3433,65979,P09913,Q8IZ21-2,IFIT2,PHACTR4,,,
7703,1911,P35227,P78364,PCGF2,PHC1,,,
284058,51230,Q7Z3B3,Q9BVI0,KIAA1267,PHF20,,,
65057,25913,Q96AP0,Q9NUX5,ACD,POT1,,,
26277,25913,Q9BSI4-2,Q9NUX5,TINF2,POT1,,,
84612,5590,Q9BYG5,Q05513,PARD6B,PRKCZ,,,
283459,55278,O43716,Q9H0R6,GATC,QRSL1,,,
4792,5966,P25963,Q04864,NFKBIA,REL,,,
4792,5971,P25963,Q01201,NFKBIA,RELB,,,
10928,85021,Q15311,Q96D71-2,RALBP1,REPS1,,,
25766,8787,Q6NWY9-2,O75916-5,PRPF40B,RGS9,,,
55702,6419,Q9BW85,Q53H47,CCDC94,SETMAR,,,
151987,55671,Q9NY27,Q6IN85,PPP4R2,SMEK1,,,
254122,6642,Q86XE0,Q13596,SNX32,SNX1,,,
55437,6794,Q9C0K7-2,Q15831,STRADB,STK11,,,
6817,6799,P50225,E9PKR8,SULT1A1,SULT1A2,,,
121536,23512,Q6ZN18,Q15022,AEBP2,SUZ12,,,
26147,23512,Q5T6S3,Q15022,PHF19,SUZ12,,,
4286,7942,O75030-2,P19484,MITF,TFEB,,,
1562,1559,P33260,P11712,CYP2C18,CYP2C9,,,
10362,10363,Q9P0W2-3,Q9NP66,HMG20B,HMG20A,,,
9686,26145,Q14135-2,Q8IU81,VGLL4,IRF2BP1,,,
84894,158038,Q96FE5-2,Q7L985,LINGO1,LINGO2,,,
84612,3993,Q9BYG5,Q6P1M3-2,PARD6B,LLGL2,,,
66036,9108,Q96QG7,Q9Y216,MTMR9,MTMR7,,,
51422,5565,Q9UGJ0-2,O43741,PRKAG2,PRKAB2,,,
11235,10494,Q9BUL8,O00506,PDCD10,STK25,,,
7013,26277,P54274-2,Q9BSI4-2,TERF1,TINF2,,,
27175,114791,Q9NRH3,Q96RT8,TUBG2,TUBGCP5,,,
51160,51271,Q9UK41,Q9NZ09-2,VPS28,UBAP1,,,
10152,10810,Q9NYB9-2,Q86VQ2,ABI2,WASF3,,,
4234,10785,Q9UBP6,P57081-2,METTL1,WDR4,,,
140460,116328,Q9H672,Q49A92,ASB7,C8orf34,,,
7737,138199,O15541,Q8N4J0,RNF113A,C9orf41,,,
81565,401145,Q9GZM8-2,Q9C0I3-2,NDEL1,FAM190A,,,
1827,5533,P53805-2,P48454,RCAN1,PPP3CC,,,
4793,5966,Q15653-2,Q04864,NFKBIB,REL,,,
170463,23648,Q9BWG4,Q9BWW4-2,SSBP4,SSBP3,,,
7090,7091,Q04726-2,Q5JSZ1,TLE3,TLE4,,,
64145,11311,Q9H1K0,Q9NRW7,ZFYVE20,VPS45,,,
7936,7469,P18615,Q9H3P2,RDBP,WHSC2,,,
4355,55327,E5RI47,Q9NUP9,MPP2,LIN7C,,,
3364,5810,O60921,O60671-2,HUS1,RAD1,,,
7322,64320,P62837,Q96BH1,UBE2D2,RNF25,,,
9412,9443,Q13503,O43513,MED21,MED7,,,
10379,6773,Q00978,P52630,IRF9,STAT2,,,
6861,6857,O00445,P21579,SYT5,SYT1,,,
409,408,P32121-3,P49407-2,ARRB2,ARRB1,,,
84276,79096,Q9BSH3,Q9H6J7-2,NICN1,C11orf49,,,
79096,54839,Q9H6J7-2,Q8IUZ0,C11orf49,LRRC49,,,
170622,150684,Q7Z4G1-2,Q8N668,COMMD6,COMMD1,,,
150684,54951,Q8N668,Q9NX08,COMMD1,COMMD8,,,
5571,5565,P54619,O43741,PRKAG1,PRKAB2,,,
93624,10474,Q86TJ2,O75528,TADA2B,TADA3,,,
332,55143,O15392,Q53HL2,BIRC5,CDCA8,,,
11243,25936,Q6P1K2,Q96IY1,PMF1,NSL1,,,
5571,5564,P54619,Q9Y478,PRKAG1,PRKAB1,,,
11336,55763,Q6P2E8,Q9NV70-2,EXOC3,EXOC1,,,
5786,5791,P18433-2,Q5VWH6,PTPRA,PTPRE,,,
9869,55729,Q15047-3,Q6VMQ6-2,SETDB1,ATF7IP,,,
7004,8463,Q15561,Q15562,TEAD4,TEAD2,,,
1676,1677,O00273-2,O76075,DFFA,DFFB,,,
