cluster,geneID,SymbolA,SymbolB
1,79650,C16orf57,GPATCH1,
1,79650,C16orf57,DHX35,
1,79650,C16orf57,AQR,
1,79650,C16orf57,CRNKL1,
1,79650,C16orf57,SYF2,
1,79650,C16orf57,CWF19L2,
1,79650,C16orf57,XAB2,
1,79650,C16orf57,CDC40,
1,79650,C16orf57,ISY1,
1,79650,C16orf57,BUD31,
1,79650,C16orf57,BCAS2,
1,79650,C16orf57,CDC5L,
1,79650,C16orf57,PPIE,
1,79650,C16orf57,WDR83,
1,79650,C16orf57,CCDC12,
1,79650,C16orf57,EAPP,
1,79650,C16orf57,PRPF19,
1,79650,C16orf57,C15orf23,
1,79650,C16orf57,SNW1,
1,79650,C16orf57,RBM22,
1,79650,C16orf57,DGCR14,
1,79650,C16orf57,SNRNP200,
1,79650,C16orf57,PLRG1,
1,25980,C20orf4,SLC7A6OS,
1,25980,C20orf4,ECD,
1,25980,C20orf4,GHDC,
1,25980,C20orf4,KLHL36,
1,25980,C20orf4,ZNHIT2,
1,25980,C20orf4,SNRNP200,
1,25980,C20orf4,PRPF8,
1,25980,C20orf4,MICA,
1,25980,C20orf4,EFTUD2,
1,6936,C2orf3,PRPF19,
1,6936,C2orf3,PRPF6,
1,6936,C2orf3,DDX23,
1,6936,C2orf3,CSNK2A1,
1,6936,C2orf3,SNRNP200,
1,6936,C2orf3,CSNK2A2,
1,6936,C2orf3,UBR2,
1,6936,C2orf3,PRPF8,
1,90324,CCDC97,PAXIP1,
1,90324,CCDC97,TTC33,
1,90324,CCDC97,SF3A2,
1,90324,CCDC97,SF3A3,
1,90324,CCDC97,SF3A1,
1,90324,CCDC97,SF3B1,
1,90324,CCDC97,CIZ1,
1,90324,CCDC97,ATF1,
1,90324,CCDC97,SF3B4,
1,90324,CCDC97,ZRSR2,
1,90324,CCDC97,PIP5K1A,
1,90324,CCDC97,SF3B3,
1,90324,CCDC97,SF3B2,
1,90324,CCDC97,SF3B14,
1,90324,CCDC97,JUN,
1,90324,CCDC97,SF3B5,
1,10421,CD2BP2,ACAD11,
1,10421,CD2BP2,SNRNP40,
1,10421,CD2BP2,SNRNP200,
1,10421,CD2BP2,PRPF8,
1,10421,CD2BP2,PRPF6,
1,10421,CD2BP2,TXNL4A,
1,10421,CD2BP2,EFTUD2,
1,10421,CD2BP2,TRAF7,
1,10421,CD2BP2,KLHL36,
1,10421,CD2BP2,SNRPD1,
1,10421,CD2BP2,NAA30,
1,10421,CD2BP2,DHX38,
1,10421,CD2BP2,SNRPD2,
1,10421,CD2BP2,SNRPB,
1,10421,CD2BP2,OBSL1,
1,10421,CD2BP2,ZNHIT2,
1,9416,DDX23,CD2BP2,
1,9416,DDX23,EAPP,
1,9416,DDX23,SNRNP40,
1,9416,DDX23,PRPF6,
1,9416,DDX23,IK,
1,9416,DDX23,RSRC1,
1,9416,DDX23,TFIP11,
1,9416,DDX23,PRMT6,
1,9416,DDX23,SNRNP200,
1,9416,DDX23,GCFC1,
1,9416,DDX23,PRPF8,
1,9416,DDX23,PRPF4,
1,9416,DDX23,SNRPD2,
1,9416,DDX23,SART1,
1,9416,DDX23,C20orf4,
1,9416,DDX23,TXNL4A,
1,9416,DDX23,EFTUD2,
1,9416,DDX23,SNRPD1,
1,55837,EAPP,C20orf4,
1,55837,EAPP,ECD,
